epoch 2, 10 total epochs, LR 0.100000, TRAINLOSS 1.344156, TESTLOSS nan, testACC 50.08%, testmAP 0.00%, bestTestmAP 0.00%
epoch 4, 10 total epochs, LR 0.000005, TRAINLOSS 0.650913, TESTLOSS 0.755707, testACC 83.81%, testmAP 78.09%, bestTestmAP 79.50%
epoch 5, 10 total epochs, LR 0.000005, TRAINLOSS 0.592877, TESTLOSS 0.732481, testACC 84.46%, testmAP 77.99%, bestTestmAP 79.50%
epoch 6, 10 total epochs, LR 0.000005, TRAINLOSS 0.541864, TESTLOSS 0.767044, testACC 84.40%, testmAP 76.50%, bestTestmAP 79.50%
epoch 7, 10 total epochs, LR 0.000005, TRAINLOSS 0.505466, TESTLOSS 0.741983, testACC 84.99%, testmAP 77.84%, bestTestmAP 79.50%
epoch 8, 10 total epochs, LR 0.000005, TRAINLOSS 0.473897, TESTLOSS 0.734506, testACC 85.54%, testmAP 78.76%, bestTestmAP 79.50%
epoch 9, 10 total epochs, LR 0.000005, TRAINLOSS 0.450411, TESTLOSS 0.815844, testACC 84.27%, testmAP 73.75%, bestTestmAP 79.50%
epoch 10, 10 total epochs, LR 0.000005, TRAINLOSS 0.427811, TESTLOSS 0.809202, testACC 84.87%, testmAP 75.96%, bestTestmAP 79.50%

epoch 2, 10 total epochs, LR 0.000001, TRAINLOSS 1.388204, TESTLOSS 1.130985, testACC 67.75%, testmAP 56.57%, bestTestmAP 56.57%
epoch 3, 10 total epochs, LR 0.000001, TRAINLOSS 1.075745, TESTLOSS 0.995915, testACC 74.71%, testmAP 71.03%, bestTestmAP 71.03%
epoch 4, 10 total epochs, LR 0.000001, TRAINLOSS 0.990013, TESTLOSS 0.937099, testACC 76.81%, testmAP 74.51%, bestTestmAP 74.51%
epoch 5, 10 total epochs, LR 0.000001, TRAINLOSS 0.938802, TESTLOSS 0.894418, testACC 78.01%, testmAP 77.06%, bestTestmAP 77.06%
epoch 6, 10 total epochs, LR 0.000001, TRAINLOSS 0.898038, TESTLOSS 0.863961, testACC 79.20%, testmAP 77.28%, bestTestmAP 77.28%
epoch 7, 10 total epochs, LR 0.000001, TRAINLOSS 0.854029, TESTLOSS 0.847680, testACC 79.90%, testmAP 76.73%, bestTestmAP 77.28%
epoch 8, 10 total epochs, LR 0.000001, TRAINLOSS 0.818654, TESTLOSS 0.822607, testACC 80.97%, testmAP 76.65%, bestTestmAP 77.28%
epoch 9, 10 total epochs, LR 0.000001, TRAINLOSS 0.786325, TESTLOSS 0.806517, testACC 81.22%, testmAP 76.65%, bestTestmAP 77.28%
epoch 10, 10 total epochs, LR 0.000001, TRAINLOSS 0.759928, TESTLOSS 0.795185, testACC 81.80%, testmAP 77.51%, bestTestmAP 77.51%

--------------------------------------------------------
epoch 2, 10 total epochs, LR 0.001000, TRAINLOSS 0.869477, TESTLOSS 0.753409, testACC 78.32%, testmAP 84.20%, bestTestmAP 84.20%
epoch 3, 10 total epochs, LR 0.001000, TRAINLOSS 0.842136, TESTLOSS 0.787793, testACC 77.83%, testmAP 83.60%, bestTestmAP 83.60%
epoch 4, 10 total epochs, LR 0.001000, TRAINLOSS 0.812681, TESTLOSS 0.748379, testACC 78.42%, testmAP 84.61%, bestTestmAP 84.61%
epoch 5, 10 total epochs, LR 0.001000, TRAINLOSS 0.799272, TESTLOSS 0.740989, testACC 78.61%, testmAP 84.82%, bestTestmAP 84.82%
epoch 6, 10 total epochs, LR 0.001000, TRAINLOSS 0.809281, TESTLOSS 0.792524, testACC 77.27%, testmAP 82.43%, bestTestmAP 84.82%
